key,date,value
China,1/1/80,1448.46
China,1/1/81,1439.86
China,1/1/82,1506.94
China,1/1/83,1593.39
China,1/1/84,1724.49
China,1/1/85,1857.81
China,1/1/86,1970.82
China,1/1/87,2102.78
China,1/1/88,2240.37
China,1/1/89,2275.34
China,1/1/90,2269.71
China,1/1/91,2369.25
China,1/1/92,2449.16
China,1/1/93,2626.64
China,1/1/94,2831.55
China,1/1/95,2861.68
China,1/1/96,2893.38
China,1/1/97,3081.74
China,1/1/98,2967.26
China,1/1/99,2885.72
China,1/1/00,2849.75
China,1/1/01,2969.58
China,1/1/02,3464.84
China,1/1/03,4069.24
China,1/1/04,5089.78
China,1/1/05,5512.7
China,1/1/06,5817.14
China,1/1/07,6260.03
China,1/1/08,6803.92
China,1/1/09,7710.5
USA,1/1/80,4776.57
USA,1/1/81,4646.85
USA,1/1/82,4410.83
USA,1/1/83,4388.02
USA,1/1/84,4618.83
USA,1/1/85,4604.84
USA,1/1/86,4612.97
USA,1/1/87,4769.96
USA,1/1/88,4989.55
USA,1/1/89,5069.96
USA,1/1/90,5041
USA,1/1/91,4997.69
USA,1/1/92,5093.53
USA,1/1/93,5188.87
USA,1/1/94,5261.43
USA,1/1/95,5319.89
USA,1/1/96,5506.37
USA,1/1/97,5578.43
USA,1/1/98,5617.03
USA,1/1/99,5677.1
USA,1/1/00,5861.82
USA,1/1/01,5753.7
USA,1/1/02,5801.17
USA,1/1/03,5850.63
USA,1/1/04,5968.49
USA,1/1/05,5991.47
USA,1/1/06,5913.68
USA,1/1/07,6018.13
USA,1/1/08,5833.13
USA,1/1/09,5424.53
India,1/1/80,291.23
India,1/1/81,337.78
India,1/1/82,349.74
India,1/1/83,367.4
India,1/1/84,421.91
India,1/1/85,447.38
India,1/1/86,473.74
India,1/1/87,486.59
India,1/1/88,522.28
India,1/1/89,553.48
India,1/1/90,578.62
India,1/1/91,620.85
India,1/1/92,659.37
India,1/1/93,690.76
India,1/1/94,733.91
India,1/1/95,870.23
India,1/1/96,827.81
India,1/1/97,870.04
India,1/1/98,906.33
India,1/1/99,962.3
India,1/1/00,1002.95
India,1/1/01,1025.68
India,1/1/02,1015.84
India,1/1/03,1032.07
India,1/1/04,1125.84
India,1/1/05,1183.28
India,1/1/06,1282.68
India,1/1/07,1378.29
India,1/1/08,1473.73
India,1/1/09,1602.12
Russia,1/1/80,0
Russia,1/1/81,0
Russia,1/1/82,0
Russia,1/1/83,0
Russia,1/1/84,0
Russia,1/1/85,0
Russia,1/1/86,0
Russia,1/1/87,0
Russia,1/1/88,0
Russia,1/1/89,0
Russia,1/1/90,0
Russia,1/1/91,0
Russia,1/1/92,2020.19
Russia,1/1/93,1863.34
Russia,1/1/94,1688.83
Russia,1/1/95,1603.06
Russia,1/1/96,1582.01
Russia,1/1/97,1456.39
Russia,1/1/98,1461.65
Russia,1/1/99,1535.52
Russia,1/1/00,1556.1
Russia,1/1/01,1522.91
Russia,1/1/02,1545.72
Russia,1/1/03,1600.52
Russia,1/1/04,1639.41
Russia,1/1/05,1652.69
Russia,1/1/06,1675.47
Russia,1/1/07,1652.74
Russia,1/1/08,1698.38
Russia,1/1/09,1572.07
Japan,1/1/80,947.01
Japan,1/1/81,945.01
Japan,1/1/82,899.79
Japan,1/1/83,867.13
Japan,1/1/84,935.74
Japan,1/1/85,926.25
Japan,1/1/86,877.53
Japan,1/1/87,890.4
Japan,1/1/88,959.77
Japan,1/1/89,989.37
Japan,1/1/90,1046.98
Japan,1/1/91,1066.42
Japan,1/1/92,1073.47
Japan,1/1/93,1064.34
Japan,1/1/94,1118.44
Japan,1/1/95,1116.24
Japan,1/1/96,1134.96
Japan,1/1/97,1157.75
Japan,1/1/98,1113.11
Japan,1/1/99,1156.38
Japan,1/1/00,1201.43
Japan,1/1/01,1193.69
Japan,1/1/02,1199.95
Japan,1/1/03,1249.72
Japan,1/1/04,1256.26
Japan,1/1/05,1241.26
Japan,1/1/06,1239.89
Japan,1/1/07,1254.44
Japan,1/1/08,1215.48
Japan,1/1/09,1097.96
