Country,Change,Coverage Volume,Coverage Rank 
Egypt,13344,20706 / 7362,4 / 15 (+11) 
Syria,12565,27965 / 15400,3 / 6 (+3) 
Kenya,7411,8590 / 1179,10 / 46 (+36) 
South Africa,4906,7300 / 2394,13 / 37 (+24) 
China,3210,8767 / 5557,9 / 19 (+10) 
Russia,2597,29825 / 27228,2 / 3 (+1) 
Saudi Arabia,2593,3804 / 1211,26 / 45 (+19) 
Philippines,2285,4549 / 2264,23 / 38 (+15) 
Qatar,2066,2412 / 346,32 / 96 (+64) 
Somalia,1864,5258 / 3394,20 / 26 (+6) 
Kosovo,1503,1752 / 249,38 / 110 (+72) 
Pakistan,1475,6061 / 4586,17 / 21 (+4) 
Uganda,1397,2183 / 786,34 / 60 (+26) 
Taiwan,1319,2088 / 769,35 / 61 (+26) 
United Arab Emirates,1266,1745 / 479,39 / 81 (+42) 
Serbia,1163,1397 / 234,44 / 112 (+68) 
Armenia,1013,1391 / 378,45 / 87 (+42) 
Yemen,919,4914 / 3995,21 / 23 (+2) 
Japan,900,2317 / 1417,33 / 42 (+9) 
Spain,801,3335 / 2534,28 / 35 (+7) 
Serbia,732,817 / 85,61 / 143 (+82) 
Jamaica,718,985 / 267,58 / 106 (+48) 
Moldova,696,722 / 26,66 / 161 (+95) 
Albania,637,1168 / 531,52 / 75 (+23) 
Morocco,617,1455 / 838,43 / 56 (+13) 
Kuwait,600,1060 / 460,55 / 82 (+27) 
Central African Republic,590,870 / 280,60 / 104 (+44) 
Algeria,468,1076 / 608,53 / 66 (+13) 
Mozambique,420,995 / 575,56 / 71 (+15) 
Kazakhstan,404,769 / 365,63 / 92 (+29) 
Indonesia,372,1342 / 970,46 / 53 (+7) 
Ecuador,350,564 / 214,73 / 114 (+41) 
Argentina,347,498 / 151,78 / 121 (+43) 
Ghana,329,597 / 268,71 / 105 (+34) 
Ukraine,318,17291 / 16973,6 / 5 (-1) 
Chile,266,398 / 132,89 / 126 (+37) 
Oman,245,423 / 178,87 / 117 (+30) 
Cuba,220,745 / 525,64 / 77 (+13) 
Nepal,214,517 / 303,77 / 103 (+26) 
Uzbekistan,183,191 / 8,109 / 185 (+76) 
Tunisia,176,938 / 762,59 / 62 (+3) 
Czech Republic,157,238 / 81,105 / 146 (+41) 
Guinea,143,306 / 163,93 / 118 (+25) 
Cyprus,132,247 / 115,100 / 133 (+33) 
Brunei,107,155 / 48,117 / 154 (+37) 
Congo,98,240 / 142,103 / 124 (+21) 
Greece,98,692 / 594,67 / 69 (+2) 
