Year,China,USA,India,Russia,Japan
1980,1448.46,4776.57,291.23,0,947.01
1981,1439.86,4646.85,337.78,0,945.01
1982,1506.94,4410.83,349.74,0,899.79
1983,1593.39,4388.02,367.4,0,867.13
1984,1724.49,4618.83,421.91,0,935.74
1985,1857.81,4604.84,447.38,0,926.25
1986,1970.82,4612.97,473.74,0,877.53
1987,2102.78,4769.96,486.59,0,890.4
1988,2240.37,4989.55,522.28,0,959.77
1989,2275.34,5069.96,553.48,0,989.37
1990,2269.71,5041,578.62,0,1046.98
1991,2369.25,4997.69,620.85,0,1066.42
1992,2449.16,5093.53,659.37,2020.19,1073.47
1993,2626.64,5188.87,690.76,1863.34,1064.34
1994,2831.55,5261.43,733.91,1688.83,1118.44
1995,2861.68,5319.89,870.23,1603.06,1116.24
1996,2893.38,5506.37,827.81,1582.01,1134.96
1997,3081.74,5578.43,870.04,1456.39,1157.75
1998,2967.26,5617.03,906.33,1461.65,1113.11
1999,2885.72,5677.1,962.3,1535.52,1156.38
2000,2849.75,5861.82,1002.95,1556.1,1201.43
2001,2969.58,5753.7,1025.68,1522.91,1193.69
2002,3464.84,5801.17,1015.84,1545.72,1199.95
2003,4069.24,5850.63,1032.07,1600.52,1249.72
2004,5089.78,5968.49,1125.84,1639.41,1256.26
2005,5512.7,5991.47,1183.28,1652.69,1241.26
2006,5817.14,5913.68,1282.68,1675.47,1239.89
2007,6260.03,6018.13,1378.29,1652.74,1254.44
2008,6803.92,5833.13,1473.73,1698.38,1215.48
2009,7710.5,5424.53,1602.12,1572.07,1097.96
